test_no,test_date,test_family,impact_direction,load_cell_classification_id,source_vehicle_id,source_vehicle_no,participant_kind,participant_kind_source,vin,make,model,model_year,body_type,engine_type,engine_displacement_l,transmission,vehicle_speed_kph,vehicle_test_weight_kg,curb_weight_kg,vehicle_length_mm,vehicle_width_mm,wheelbase_mm,vax_crush_distance_mm,vehicle_cg_mm,vehicle_orientation_deg,source_row_hash
7487,2011-10-25,side,side,side_pole_load_cell_8,312,1,subject_vehicle,single_vehicle_inferred_subject,1FMHK7B81CGA12075,FORD,EXPLORER,2012,UTILITY VEHICLE,V6 TRANSVERSE FRONT,3.0,AUTOMATIC - REAR WHEEL DRIVE,32.0,2191.0,2012.0,5009.0,1976.0,2865.0,588.0,1272.0,0.0,33f91453cfd2cddc88d8f152f14bc3a4c274f6eaacf3c30105f282d40626885d
7489,2011-10-24,side,side,side_pole_load_cell_8,311,1,subject_vehicle,single_vehicle_inferred_subject,2G1FE1E35C9117533,CHEVROLET,CAMARO,2012,TWO DOOR COUPE,V6 INLINE FRONT,3.6,MANUAL - REAR WHEEL DRIVE,32.0,1827.0,1722.0,4838.0,1828.0,2856.0,395.0,1452.0,0.0,9e1e1d48381ce4fa5211712f61b5544581489414ca239330e552bd90ec8a324d
7496,2011-10-31,side,side,side_pole_load_cell_8,319,1,subject_vehicle,single_vehicle_inferred_subject,2G1WA5E37C1129622,CHEVROLET,IMPALA,2012,FOUR DOOR SEDAN,V6 TRANSVERSE FRONT,3.6,AUTOMATIC - FRONT WHEEL DRIVE,32.22,1753.0,1630.0,5096.0,1844.0,2806.0,392.0,1167.0,0.0,650d05d393786f42eedb357eec46113a4a38bd6283758aeed72e29c4843a6966
7497,2011-11-01,side,side,side_pole_load_cell_8,320,1,subject_vehicle,single_vehicle_inferred_subject,KMHCT4AE3CU086581,HYUNDAI,ACCENT,2012,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,1.6,AUTOMATIC - FRONT WHEEL DRIVE,32.1,1245.0,1154.0,4364.0,1688.0,2568.0,327.0,1044.0,0.0,d43ebad184f3f8cfbeecba0e9f6e51e6a21a12811bad9856b7b214283e15314f
7506,2011-11-07,side,side,side_pole_load_cell_8,327,1,subject_vehicle,single_vehicle_inferred_subject,1GNSCHE08CR128257,CHEVROLET,SUBURBAN,2012,UTILITY VEHICLE,V8 INLINE FRONT,5.3,AUTOMATIC - REAR WHEEL DRIVE,31.9,2690.0,2585.0,5655.0,1982.0,3310.0,432.0,1673.0,0.0,19c00d54c07968db28a1f5882854273746548fbec0c6af1b0a414d03f48edc2b
7511,2011-11-10,side,side,side_pole_load_cell_8,336,1,subject_vehicle,single_vehicle_inferred_subject,3C3CFFAR6CT119548,FIAT,500,2012,THREE DOOR HATCHBACK,4 CYLINDER TRANSVERSE FRONT,1.4,MANUAL - FRONT WHEEL DRIVE,32.14,1183.0,1071.0,3488.0,1583.0,2305.0,354.0,910.0,0.0,b3da43c46d213a3789d5475f2fd2c878e11f1ee7ee62a8197bf9f4d78ebdb0d0
7512,2011-11-10,side,side,side_pole_load_cell_8,337,1,subject_vehicle,single_vehicle_inferred_subject,5FNYF3H28CB005722,HONDA,PILOT,2012,UTILITY VEHICLE,V6 TRANSVERSE FRONT,3.5,AUTOMATIC - FRONT WHEEL DRIVE,31.9,2034.0,1933.0,4856.0,1985.0,2776.0,520.0,1239.0,0.0,3726e2d9db3e37a0c966e6723e1e1ba4783cb02c2afab94952ee7f04a9205c70
7518,2011-11-14,side,side,side_pole_load_cell_8,341,1,subject_vehicle,single_vehicle_inferred_subject,1G6DA5E54C0102750,CADILLAC,CTS,2012,FOUR DOOR SEDAN,V6 INLINE FRONT,3.0,AUTOMATIC - REAR WHEEL DRIVE,32.19,1868.0,1764.0,4832.0,1788.0,2882.0,420.0,1420.0,0.0,ac0c3c910a98905cd7e4787f411eb6b26e85e8045655b964915f7f1c78612a03
7522,2011-11-30,side,side,side_pole_load_cell_8,363,1,subject_vehicle,single_vehicle_inferred_subject,3GYFNAE37CS503861,CADILLAC,SRX,2012,UTILITY VEHICLE,V6 TRANSVERSE FRONT,3.6,AUTOMATIC - FRONT WHEEL DRIVE,32.0,2182.0,2001.0,4832.0,1861.0,2817.0,394.0,1287.0,0.0,95061f3c2697cdb96941af2f43379724cf3fa02dbc01dc3e34f8aabae22fca5a
7523,2011-11-16,side,side,side_pole_load_cell_8,347,1,subject_vehicle,single_vehicle_inferred_subject,4T4BF1FK9CR159958,TOYOTA,CAMRY,2012,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,2.5,AUTOMATIC - FRONT WHEEL DRIVE,32.1,1566.0,1455.0,4809.0,1821.0,2774.0,394.0,1165.0,0.0,101cabc4dd2db30311b908b5401f947f3b66ab20977b1e8f55e967e7929eb4ff
