test_id,test_no,vehicle_id,impact_family,vehicle_role,damage_face,profile_axis,crush_axis,point_index,dpd_value_mm,s_local_mm,s_vehicle_mm,s_norm,lencnt_mm,damdst_mm,quality_tier,source
10,7342,14,frontal_barrier,subject_vehicle,front,Y,X,2,432.0,-474.9,-474.9,-0.3,1583.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
10,7342,14,frontal_barrier,subject_vehicle,front,Y,X,3,480.0,-158.29999999999995,-158.29999999999995,-0.09999999999999998,1583.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
10,7342,14,frontal_barrier,subject_vehicle,front,Y,X,4,474.0,158.29999999999995,158.29999999999995,0.09999999999999998,1583.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
10,7342,14,frontal_barrier,subject_vehicle,front,Y,X,5,455.0,474.9000000000001,474.9000000000001,0.30000000000000004,1583.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
10,7342,14,frontal_barrier,subject_vehicle,front,Y,X,6,380.0,791.5,791.5,0.5,1583.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
11,7343,16,side_impactor,subject_vehicle,side_unknown,X,Y,1,11.0,-1500.0,-1498.0,-0.5,3000.0,2.0,A_ProfileValid,raw_json_with_canonical_fallback
11,7343,16,side_impactor,subject_vehicle,side_unknown,X,Y,2,10.0,-900.0,-898.0,-0.3,3000.0,2.0,A_ProfileValid,raw_json_with_canonical_fallback
11,7343,16,side_impactor,subject_vehicle,side_unknown,X,Y,3,205.0,-300.0,-298.0,-0.1,3000.0,2.0,A_ProfileValid,raw_json_with_canonical_fallback
11,7343,16,side_impactor,subject_vehicle,side_unknown,X,Y,4,150.0,300.0,302.0,0.1,3000.0,2.0,A_ProfileValid,raw_json_with_canonical_fallback
11,7343,16,side_impactor,subject_vehicle,side_unknown,X,Y,5,141.0,900.0,902.0,0.3,3000.0,2.0,A_ProfileValid,raw_json_with_canonical_fallback
11,7343,16,side_impactor,subject_vehicle,side_unknown,X,Y,6,27.0,1500.0,1502.0,0.5,3000.0,2.0,A_ProfileValid,raw_json_with_canonical_fallback
12,7344,17,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1425.0,-1381.0,-0.5,2850.0,44.0,C_MaxOnly,raw_json_with_canonical_fallback
12,7344,17,side,subject_vehicle,side_unknown,X,Y,2,0.0,-855.0,-811.0,-0.3,2850.0,44.0,C_MaxOnly,raw_json_with_canonical_fallback
12,7344,17,side,subject_vehicle,side_unknown,X,Y,3,0.0,-285.0,-241.0,-0.1,2850.0,44.0,C_MaxOnly,raw_json_with_canonical_fallback
12,7344,17,side,subject_vehicle,side_unknown,X,Y,4,0.0,285.0,329.0,0.1,2850.0,44.0,C_MaxOnly,raw_json_with_canonical_fallback
12,7344,17,side,subject_vehicle,side_unknown,X,Y,5,0.0,855.0,899.0,0.3,2850.0,44.0,C_MaxOnly,raw_json_with_canonical_fallback
12,7344,17,side,subject_vehicle,side_unknown,X,Y,6,0.0,1425.0,1469.0,0.5,2850.0,44.0,C_MaxOnly,raw_json_with_canonical_fallback
13,7345,18,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1650.0,-1257.0,-0.5,3300.0,393.0,C_MaxOnly,raw_json_with_canonical_fallback
13,7345,18,side,subject_vehicle,side_unknown,X,Y,2,0.0,-990.0,-597.0,-0.3,3300.0,393.0,C_MaxOnly,raw_json_with_canonical_fallback
13,7345,18,side,subject_vehicle,side_unknown,X,Y,3,0.0,-330.0,63.0,-0.1,3300.0,393.0,C_MaxOnly,raw_json_with_canonical_fallback
13,7345,18,side,subject_vehicle,side_unknown,X,Y,4,0.0,330.0,723.0,0.1,3300.0,393.0,C_MaxOnly,raw_json_with_canonical_fallback
13,7345,18,side,subject_vehicle,side_unknown,X,Y,5,0.0,990.0,1383.0,0.3,3300.0,393.0,C_MaxOnly,raw_json_with_canonical_fallback
13,7345,18,side,subject_vehicle,side_unknown,X,Y,6,0.0,1650.0,2043.0,0.5,3300.0,393.0,C_MaxOnly,raw_json_with_canonical_fallback
16,7346,23,side_impactor,subject_vehicle,side_unknown,X,Y,1,0.0,-1500.0,-1738.0,-0.5,3000.0,-238.0,A_ProfileValid,raw_json_with_canonical_fallback
16,7346,23,side_impactor,subject_vehicle,side_unknown,X,Y,2,200.0,-900.0,-1138.0,-0.3,3000.0,-238.0,A_ProfileValid,raw_json_with_canonical_fallback
16,7346,23,side_impactor,subject_vehicle,side_unknown,X,Y,3,251.0,-300.0,-538.0,-0.1,3000.0,-238.0,A_ProfileValid,raw_json_with_canonical_fallback
16,7346,23,side_impactor,subject_vehicle,side_unknown,X,Y,4,209.0,300.0,62.0,0.1,3000.0,-238.0,A_ProfileValid,raw_json_with_canonical_fallback
16,7346,23,side_impactor,subject_vehicle,side_unknown,X,Y,5,196.0,900.0,662.0,0.3,3000.0,-238.0,A_ProfileValid,raw_json_with_canonical_fallback
16,7346,23,side_impactor,subject_vehicle,side_unknown,X,Y,6,0.0,1500.0,1262.0,0.5,3000.0,-238.0,A_ProfileValid,raw_json_with_canonical_fallback
14,7347,19,frontal_barrier,subject_vehicle,front,Y,X,1,414.0,-685.0,-685.0,-0.5,1370.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
14,7347,19,frontal_barrier,subject_vehicle,front,Y,X,2,511.0,-411.0,-411.0,-0.3,1370.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
14,7347,19,frontal_barrier,subject_vehicle,front,Y,X,3,541.0,-137.0,-137.0,-0.1,1370.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
14,7347,19,frontal_barrier,subject_vehicle,front,Y,X,4,551.0,137.0,137.0,0.1,1370.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
14,7347,19,frontal_barrier,subject_vehicle,front,Y,X,5,513.0,411.0,411.0,0.3,1370.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
