test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_dpd_negative,flag_negative_dpd_present,flag_cmean_negative,flag_not_target_family,exclusion_reason
3475,14251,4146,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3477,14253,4149,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3480,14255,4153,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3472,14259,4142,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3486,14261,4160,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3471,14263,4140,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3491,14268,4167,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3498,14269,4177,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3505,14270,4186,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3502,14273,4182,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3507,14274,4189,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3509,14275,4192,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3515,14279,4200,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3512,14284,4196,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3525,14286,4213,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3518,14296,4204,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3522,14297,4209,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3531,14298,4220,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
