category,test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
high_C_mean_norm,670,8026,802,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1670631424375918,0.11883924757349121,12FDEW3,0.0,1195.0,1195.0,high_C_mean_norm
high_C_max_norm,711,8048,850,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.14729299363057324,0.13424949728416466,12FDEW6,0.0,740.0,642.0,high_C_max_norm
high_C_mean_norm,711,8048,850,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12229299363057325,0.11883924757349121,12FDEW6,0.0,740.0,642.0,high_C_mean_norm
high_C_mean_norm,717,8054,859,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11837315130830489,0.10695075495923233,10LPAW3,297.0,267.0,267.0,high_C_mean_norm
high_C_max_norm,716,8060,857,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2873367404883589,0.2575310100413467,09LPEW2,285.0,506.0,,high_C_max_norm
high_C_max_norm,729,8065,876,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.17649975210708974,0.15611387289958717,,297.0,356.0,340.0,high_C_max_norm
high_C_max_norm,418,8067,504,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.29697570649479427,0.2575310100413467,,345.0,599.0,,high_C_max_norm
high_C_max_norm,756,8074,910,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.18096182449181952,0.15611387289958717,,297.0,365.0,399.0,high_C_max_norm
high_C_mean_norm,756,8074,910,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12751611303916707,0.10695075495923233,,297.0,365.0,399.0,high_C_mean_norm
high_C_max_norm,764,8076,920,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2989588497768964,0.2575310100413467,,345.0,603.0,,high_C_max_norm
high_C_max_norm,771,8081,930,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1348519362186788,0.13424949728416466,12FDEWX,0.0,592.0,592.0,high_C_max_norm
high_C_mean_norm,771,8081,930,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12118451025056948,0.11883924757349121,12FDEWX,0.0,592.0,592.0,high_C_mean_norm
high_C_max_norm,946,8213,1132,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.14735658042744657,0.13424949728416466,12FDEW6,0.0,655.0,632.0,high_C_max_norm
high_C_mean_norm,946,8213,1132,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12971878515185603,0.11883924757349121,12FDEW6,0.0,655.0,632.0,high_C_mean_norm
high_C_mean_norm,1105,8313,1303,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12069868995633187,0.11883924757349121,12FDEW3,0.0,585.0,585.0,high_C_mean_norm
high_C_max_norm,1106,8315,1305,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.18,0.15611387289958717,03LPAW2,297.0,360.0,332.0,high_C_max_norm
high_C_mean_norm,1160,8403,1371,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.14410876132930514,0.12762569666304482,09LPAN3,285.0,412.0,500.0,high_C_mean_norm
high_C_mean_norm,1182,8406,1397,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.14365079365079367,0.12762569666304482,09LPAN3,285.0,335.0,417.0,high_C_mean_norm
high_C_mean_norm,1188,8408,1406,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.17028688524590163,0.12762569666304482,09LPAN3,285.0,446.0,531.0,high_C_mean_norm
high_C_max_norm,1191,8410,1410,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.2671500278862242,0.2575310100413467,09LPEW2,285.0,479.0,380.0,high_C_max_norm
high_C_max_norm,1197,8441,1419,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.18004459308807136,0.15611387289958717,10LPAW3,297.0,323.0,297.0,high_C_max_norm
high_C_max_norm,1201,8444,1425,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2708215297450425,0.2575310100413467,,345.0,478.0,,high_C_max_norm
high_C_mean_norm,1207,8447,1433,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1072136563876652,0.10695075495923233,03LPAW2,297.0,233.0,270.0,high_C_mean_norm
high_C_mean_norm,1208,8448,1434,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.15027533039647575,0.12762569666304482,09LPAN3,285.0,373.0,423.0,high_C_mean_norm
high_C_max_norm,1209,8450,1435,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.26062322946175637,0.2575310100413467,,345.0,460.0,,high_C_max_norm
high_C_max_norm,1213,8452,1443,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1775,0.15611387289958717,03LPAW2,297.0,355.0,301.0,high_C_max_norm
high_C_mean_norm,1213,8452,1443,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.10959999999999999,0.10695075495923233,03LPAW2,297.0,355.0,301.0,high_C_mean_norm
high_C_max_norm,1214,8453,1444,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.2589887640449438,0.2575310100413467,09LPEW2,285.0,461.0,289.0,high_C_max_norm
high_C_mean_norm,1215,8454,1445,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.20475,0.12762569666304482,09LPAN3,285.0,435.0,611.0,high_C_mean_norm
high_C_mean_norm,1225,8461,1459,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13713633770678837,0.12762569666304482,09LPAN3,285.0,344.0,414.0,high_C_mean_norm
high_C_mean_norm,1236,8469,1475,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1812563840653728,0.12762569666304482,09LPAN3,285.0,460.0,565.0,high_C_mean_norm
high_C_max_norm,1239,8472,1479,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16930693069306932,0.15611387289958717,03LPAW2,297.0,342.0,169.0,high_C_max_norm
high_C_mean_norm,1240,8479,1480,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.2003960396039604,0.12762569666304482,09LPAN3,285.0,473.0,656.0,high_C_mean_norm
high_C_max_norm,1272,8515,1527,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.13961840628507294,0.13424949728416466,12FDEWX,0.0,622.0,622.0,high_C_max_norm
high_C_mean_norm,1274,8524,1529,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.15958244111349038,0.12762569666304482,09LPAN3,285.0,417.0,466.0,high_C_mean_norm
high_C_mean_norm,1285,8526,1546,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12115549828178694,0.11883924757349121,12FDEW6,0.0,613.0,589.0,high_C_mean_norm
high_C_mean_norm,1289,8534,1551,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1460970464135021,0.12762569666304482,09LPAN3,285.0,394.0,446.0,high_C_mean_norm
high_C_max_norm,1218,8552,1449,rear,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.19356955380577429,0.14429682986554052,06BDEW3,180.0,295.0,295.0,high_C_max_norm
high_C_mean_norm,1218,8552,1449,rear,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.15446194225721782,0.11618570213639492,06BDEW3,180.0,295.0,295.0,high_C_mean_norm
high_C_mean_norm,1327,8558,1594,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.14321175278622086,0.12762569666304482,09LPAN3,285.0,379.0,466.0,high_C_mean_norm
high_C_mean_norm,1330,8568,1598,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1375207526286663,0.12762569666304482,09LPAN3,285.0,327.0,405.0,high_C_mean_norm
