category,flag,test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,is_profile_tier,is_audit_only_tier,VDI,PDOF,CRHDST,C_profile_max_mm,C_mean_mm,reason
lencnt_out_of_range,flag_lencnt_out_of_range,281,7512,337,side,subject_vehicle,C_MaxOnly,0,0,,345.0,520.0,,,lencnt_out_of_range
damdst_out_of_range,flag_damdst_out_of_range,291,7525,349,frontal_barrier,subject_vehicle,B_ProfilePartial,1,0,12FDEW2,0.0,437.0,437.0,413.6000000000001,damdst_out_of_range
negative_dpd_present,flag_dpd_negative,287,7529,345,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,297.0,297.0,118.1,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,287,7529,345,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,297.0,297.0,118.1,pdof_family_mismatch
pdof_family_mismatch,flag_pdof_family_mismatch,299,7533,358,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,399.0,399.0,180.6,pdof_family_mismatch
negative_dpd_present,flag_dpd_negative,300,7534,360,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,235.0,216.0,127.0,negative_dpd_present
negative_dpd_present,flag_dpd_negative,305,7537,367,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,251.0,251.0,146.3,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,305,7537,367,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,251.0,251.0,146.3,side_imppnt_mismatch
pdof_family_mismatch,flag_pdof_family_mismatch,309,7542,372,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,426.0,426.0,184.7,pdof_family_mismatch
pdof_family_mismatch,flag_pdof_family_mismatch,316,7568,381,side,subject_vehicle,C_MaxOnly,0,0,,345.0,381.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,316,7568,381,side,subject_vehicle,C_MaxOnly,0,0,,345.0,381.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,317,7571,383,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,237.0,237.0,134.8,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,317,7571,383,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,237.0,237.0,134.8,side_imppnt_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,325,7580,395,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,243.0,243.0,151.8,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,332,7583,402,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,368.0,368.0,127.5,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,332,7583,402,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,368.0,368.0,127.5,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,333,7584,403,side,subject_vehicle,C_MaxOnly,0,0,09LPAN3,285.0,447.0,,,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,336,7586,407,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,205.0,195.0,117.1,negative_dpd_present
negative_dpd_present,flag_dpd_negative,349,7602,423,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,239.0,236.0,147.2,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,5,7607,7,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,222.0,222.0,138.3,side_imppnt_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,360,7616,438,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,164.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,360,7616,438,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,164.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,366,7621,444,side,subject_vehicle,C_MaxOnly,0,0,,345.0,507.0,,,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,366,7621,444,side,subject_vehicle,C_MaxOnly,0,0,,345.0,507.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,366,7621,444,side,subject_vehicle,C_MaxOnly,0,0,,345.0,507.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,390,7639,471,side,subject_vehicle,B_ProfilePartial,1,0,09LPAW3,0.0,448.0,7.0,-142.6,negative_dpd_present
cmean_negative,flag_cmean_negative,390,7639,471,side,subject_vehicle,B_ProfilePartial,1,0,09LPAW3,0.0,448.0,7.0,-142.6,cmean_negative
pdof_family_mismatch,flag_pdof_family_mismatch,390,7639,471,side,subject_vehicle,B_ProfilePartial,1,0,09LPAW3,0.0,448.0,7.0,-142.6,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,390,7639,471,side,subject_vehicle,B_ProfilePartial,1,0,09LPAW3,0.0,448.0,7.0,-142.6,side_imppnt_mismatch
pdof_family_mismatch,flag_pdof_family_mismatch,416,7719,502,side,subject_vehicle,C_MaxOnly,0,0,,345.0,460.0,,,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,416,7719,502,side,subject_vehicle,C_MaxOnly,0,0,,345.0,460.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,416,7719,502,side,subject_vehicle,C_MaxOnly,0,0,,345.0,460.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,436,7738,526,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,296.0,294.0,145.6,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,450,7749,544,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,164.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,450,7749,544,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,164.0,,,lencnt_out_of_range
side_imppnt_mismatch,flag_side_imppnt_mismatch,520,7858,628,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,229.0,188.0,109.1,side_imppnt_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,537,7870,646,side,subject_vehicle,C_MaxOnly,0,0,09LPAN3,285.0,316.0,,,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,553,7874,664,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,257.0,244.0,117.1,negative_dpd_present
negative_dpd_present,flag_dpd_negative,532,7893,641,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,01FDEW2,0.0,208.0,208.0,67.09999999999998,negative_dpd_present
negative_dpd_present,flag_dpd_negative,60,7917,77,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,12FDEW6,0.0,622.0,341.0,223.7,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,585,7943,700,side,subject_vehicle,C_MaxOnly,0,0,09LPAN3,285.0,447.0,,,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,636,7980,761,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,348.0,320.0,99.6,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,636,7980,761,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,348.0,320.0,99.6,pdof_family_mismatch
negative_dpd_present,flag_dpd_negative,642,7986,770,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,179.0,159.0,70.3,negative_dpd_present
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,630,7993,753,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,11FDEW3,0.0,312.0,609.0,202.4,crhdst_dpd_disagreement
negative_dpd_present,flag_dpd_negative,630,7993,753,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,11FDEW3,0.0,312.0,609.0,202.4,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,651,7994,781,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,188.0,,,side_imppnt_mismatch
damdst_out_of_range,flag_damdst_out_of_range,650,7995,779,frontal_barrier,subject_vehicle,B_ProfilePartial,1,0,12FDEW3,0.0,403.0,340.0,276.2,damdst_out_of_range
negative_dpd_present,flag_dpd_negative,659,7999,790,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,362.0,341.0,108.7,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,659,7999,790,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,362.0,341.0,108.7,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,659,7999,790,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,362.0,341.0,108.7,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,668,8002,800,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,205.0,200.0,112.7,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,672,8025,805,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,179.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,676,8028,809,side,subject_vehicle,C_MaxOnly,0,0,10LPAW3,285.0,373.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,684,8033,819,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,215.0,215.0,122.2,negative_dpd_present
negative_dpd_present,flag_dpd_negative,699,8040,835,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN4,0.0,406.0,377.0,133.1,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,699,8040,835,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN4,0.0,406.0,377.0,133.1,pdof_family_mismatch
negative_dpd_present,flag_dpd_negative,701,8041,839,side_impactor,subject_vehicle,A_ProfileValid,1,0,12LPEW2,297.0,196.0,196.0,101.5,negative_dpd_present
negative_dpd_present,flag_dpd_negative,708,8050,846,side,subject_vehicle,B_ProfilePartial,1,0,9LPAW3,0.0,438.0,421.0,159.3,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,708,8050,846,side,subject_vehicle,B_ProfilePartial,1,0,9LPAW3,0.0,438.0,421.0,159.3,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,708,8050,846,side,subject_vehicle,B_ProfilePartial,1,0,9LPAW3,0.0,438.0,421.0,159.3,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,713,8051,853,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,206.0,206.0,59.3,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,717,8054,859,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,267.0,267.0,208.1,side_imppnt_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,722,8059,866,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,195.0,,,side_imppnt_mismatch
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,592,8061,709,frontal_barrier,subject_vehicle,X_Exclude,0,1,,0.0,0.0,,,insufficient_deformation_signal
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,661,8062,792,frontal_barrier,subject_vehicle,X_Exclude,0,1,,0.0,0.0,,,insufficient_deformation_signal
negative_dpd_present,flag_dpd_negative,724,8063,870,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,231.0,223.0,97.9,negative_dpd_present
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,726,8064,872,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,12FDEWX,0.0,262.0,339.0,247.0,crhdst_dpd_disagreement
pdof_family_mismatch,flag_pdof_family_mismatch,418,8067,504,side,subject_vehicle,C_MaxOnly,0,0,,345.0,599.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,418,8067,504,side,subject_vehicle,C_MaxOnly,0,0,,345.0,599.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,764,8076,920,side,subject_vehicle,C_MaxOnly,0,0,,345.0,603.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,764,8076,920,side,subject_vehicle,C_MaxOnly,0,0,,345.0,603.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,835,8118,1008,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,323.0,314.0,86.4,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,835,8118,1008,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,323.0,314.0,86.4,pdof_family_mismatch
negative_dpd_present,flag_dpd_negative,851,8126,1025,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,192.0,186.0,88.7,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,900,8157,1078,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,138.0,110.0,50.4,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,924,8197,1105,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,11FDEW3,0.0,527.0,527.0,314.59999999999997,negative_dpd_present
lencnt_out_of_range,flag_lencnt_out_of_range,1038,8290,1230,frontal_barrier,subject_vehicle,B_ProfilePartial,1,0,12FDEW2,0.0,593.0,541.0,474.0,lencnt_out_of_range
side_imppnt_mismatch,flag_side_imppnt_mismatch,1040,8292,1233,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,206.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,1040,8292,1233,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,206.0,,,lencnt_out_of_range
lencnt_out_of_range,flag_lencnt_out_of_range,1108,8317,1308,side_impactor,subject_vehicle,C_MaxOnly,0,0,09LPEW2,270.0,218.0,,,lencnt_out_of_range
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1110,8318,1311,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,424.0,531.0,251.8,crhdst_dpd_disagreement
negative_dpd_present,flag_dpd_negative,1110,8318,1311,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,424.0,531.0,251.8,negative_dpd_present
lencnt_out_of_range,flag_lencnt_out_of_range,1111,8319,1312,side,subject_vehicle,C_MaxOnly,0,0,10LPAN3,285.0,342.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,563,8343,675,side,subject_vehicle,C_MaxOnly,0,0,,0.0,277.0,,,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,563,8343,675,side,subject_vehicle,C_MaxOnly,0,0,,0.0,277.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,563,8343,676,side,subject_vehicle,C_MaxOnly,0,0,09LPAN3,297.0,216.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,618,8345,739,side,subject_vehicle,C_MaxOnly,0,0,,0.0,269.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,618,8345,740,side,subject_vehicle,C_MaxOnly,0,0,,297.0,203.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,631,8346,754,side,subject_vehicle,C_MaxOnly,0,0,,0.0,229.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,631,8346,755,side,subject_vehicle,C_MaxOnly,0,0,,297.0,215.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,700,8347,836,side,subject_vehicle,C_MaxOnly,0,0,,0.0,193.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,700,8347,837,side,subject_vehicle,C_MaxOnly,0,0,,293.0,224.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,723,8348,867,side,subject_vehicle,C_MaxOnly,0,0,,0.0,155.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,723,8348,868,side,subject_vehicle,C_MaxOnly,0,0,,297.0,261.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,766,8349,923,side,subject_vehicle,C_MaxOnly,0,0,,0.0,372.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,766,8349,924,side,subject_vehicle,C_MaxOnly,0,0,,297.0,216.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,794,8350,960,side,subject_vehicle,C_MaxOnly,0,0,,0.0,371.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,794,8350,961,side,subject_vehicle,C_MaxOnly,0,0,,297.0,248.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,822,8351,994,side,subject_vehicle,C_MaxOnly,0,0,,0.0,372.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,822,8351,995,side,subject_vehicle,C_MaxOnly,0,0,,297.0,254.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,899,8352,1075,side,subject_vehicle,C_MaxOnly,0,0,,0.0,372.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,899,8352,1076,side,subject_vehicle,C_MaxOnly,0,0,,297.0,199.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,918,8353,1098,side,subject_vehicle,C_MaxOnly,0,0,,0.0,372.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,918,8353,1099,side,subject_vehicle,C_MaxOnly,0,0,,297.0,207.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,927,8354,1108,side,subject_vehicle,C_MaxOnly,0,0,,0.0,372.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,927,8354,1109,side,subject_vehicle,C_MaxOnly,0,0,,297.0,223.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,943,8355,1126,side,subject_vehicle,C_MaxOnly,0,0,,0.0,372.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,943,8355,1127,side,subject_vehicle,C_MaxOnly,0,0,,297.0,199.0,,,lencnt_out_of_range
side_imppnt_mismatch,flag_side_imppnt_mismatch,1149,8357,1356,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,220.0,217.0,143.8,side_imppnt_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,1152,8384,1360,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,183.0,184.0,109.6,side_imppnt_mismatch
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1154,8386,1362,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,333.0,384.0,179.5,crhdst_dpd_disagreement
negative_dpd_present,flag_dpd_negative,1154,8386,1362,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,333.0,384.0,179.5,negative_dpd_present
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1160,8403,1371,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,412.0,500.0,286.2,crhdst_dpd_disagreement
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1182,8406,1397,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,335.0,417.0,253.4,crhdst_dpd_disagreement
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1188,8408,1406,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,446.0,531.0,332.4,crhdst_dpd_disagreement
side_imppnt_mismatch,flag_side_imppnt_mismatch,1187,8409,1405,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,196.0,193.0,106.7,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,1193,8442,1413,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,287.0,287.0,206.9,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,1198,8443,1420,side,subject_vehicle,C_MaxOnly,0,0,10LPAN3,0.0,343.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,1198,8443,1420,side,subject_vehicle,C_MaxOnly,0,0,10LPAN3,0.0,343.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,1201,8444,1425,side,subject_vehicle,C_MaxOnly,0,0,,345.0,478.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,1201,8444,1425,side,subject_vehicle,C_MaxOnly,0,0,,345.0,478.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,1209,8450,1435,side,subject_vehicle,C_MaxOnly,0,0,,345.0,460.0,,,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,1209,8450,1435,side,subject_vehicle,C_MaxOnly,0,0,,345.0,460.0,,,side_imppnt_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,1209,8450,1435,side,subject_vehicle,C_MaxOnly,0,0,,345.0,460.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,1212,8451,1441,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,249.0,232.0,132.3,negative_dpd_present
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1215,8454,1445,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,435.0,611.0,409.5,crhdst_dpd_disagreement
lencnt_out_of_range,flag_lencnt_out_of_range,1216,8456,1446,frontal_barrier,subject_vehicle,B_ProfilePartial,1,0,12FDEW6,0.0,657.0,657.0,510.8,lencnt_out_of_range
side_imppnt_mismatch,flag_side_imppnt_mismatch,1223,8460,1457,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,213.0,202.0,149.1,side_imppnt_mismatch
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1225,8461,1459,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,344.0,414.0,240.4,crhdst_dpd_disagreement
pdof_family_mismatch,flag_pdof_family_mismatch,1224,8462,1458,side,subject_vehicle,C_MaxOnly,0,0,,345.0,352.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,1224,8462,1458,side,subject_vehicle,C_MaxOnly,0,0,,345.0,352.0,,,lencnt_out_of_range
pdof_family_mismatch,flag_pdof_family_mismatch,1232,8466,1468,side,subject_vehicle,C_MaxOnly,0,0,,345.0,324.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,1232,8466,1468,side,subject_vehicle,C_MaxOnly,0,0,,345.0,324.0,,,lencnt_out_of_range
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,1236,8469,1475,side,subject_vehicle,A_ProfileValid,1,0,09LPAN3,285.0,460.0,565.0,354.9,crhdst_dpd_disagreement
pdof_family_mismatch,flag_pdof_family_mismatch,1238,8471,1477,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,351.0,256.0,113.7,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,1244,8473,1486,side_impactor,subject_vehicle,A_ProfileValid,1,0,,297.0,232.0,201.0,135.4,side_imppnt_mismatch
