test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
172,7658,201,research_other,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
184,7659,215,research_other,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
188,7660,219,research_other,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
197,7661,230,research_other,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
203,7662,236,research_other,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
206,7663,240,research_other,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
410,7713,494,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
410,7713,494,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
411,7714,496,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
411,7714,496,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
413,7716,499,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
416,7719,502,side,subject_vehicle,C_MaxOnly,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,345.0,460.0,,flag_lencnt_out_of_range
416,7719,502,side,subject_vehicle,C_MaxOnly,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,345.0,460.0,,flag_pdof_family_mismatch
416,7719,502,side,subject_vehicle,C_MaxOnly,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,,345.0,460.0,,flag_side_imppnt_mismatch
420,7721,506,static_airbag,subject_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,audit_only_family
