test_no,model_year,make,model,body_style,crash_type,crash_type_rule,test_config_code,test_config_label,impact_speed_value,impact_speed_unit,load_cell_barrier_family,load_cell_barrier_classification_id,load_cell_barrier_config_version,test_weight_kg,curb_weight_kg,length_mm,width_mm,wheelbase_mm,vax_crush_distance_mm
7511,2012,FIAT,500,THREE DOOR HATCHBACK,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.14,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1183.0,1071.0,3488.0,1583.0,2305.0,354.0
7512,2012,HONDA,PILOT,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.9,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2034.0,1933.0,4856.0,1985.0,2776.0,520.0
7518,2012,CADILLAC,CTS,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.19,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1868.0,1764.0,4832.0,1788.0,2882.0,420.0
7522,2012,CADILLAC,SRX,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2182.0,2001.0,4832.0,1861.0,2817.0,394.0
7523,2012,TOYOTA,CAMRY,FOUR DOOR SEDAN,OPTIONAL NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1566.0,1455.0,4809.0,1821.0,2774.0,394.0
7524,2012,DODGE,DURANGO,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.2,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2297.0,2189.0,5070.0,1930.0,3045.0,358.0
7529,2012,HYUNDAI,ELANTRA,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.06,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1379.0,1298.0,4525.0,1770.0,2699.0,297.0
7532,2012,NISSAN,MAXIMA,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1730.0,1616.0,4844.0,1812.0,2776.0,422.0
7533,2012,MAZDA,MAZDA6,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.24,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1568.0,1486.0,4918.0,1841.0,2787.0,399.0
7538,2012,ACURA,TL,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.59,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1785.0,1700.0,4901.0,1851.0,2771.0,465.0
